,name, address, start_time, end_time, start_time_saturday, end_time_saturday, start_time_holiday, end_time_holiday, fee, longitude, latitude
214,京都山科竹鼻郵便局,京都府京都市山科区竹鼻西ﾉ口町21,9:00,19:00,9:00,17:00,9:00,17:00,0,135.819138,34.989229
215,京都山科椥辻郵便局,京都府京都市山科区椥辻東浦町1−5,9:00,19:00,9:00,17:00,-,-,0,135.815085,34.976474
216,京都山科西野郵便局,京都府京都市山科区西野今屋敷町3−15,9:00,17:30,9:00,12:30,-,-,0,135.813425,34.985637
217,京都山科御陵郵便局,京都府京都市山科区御陵原西町9,9:00,17:30,9:00,17:00,-,-,0,135.803267,34.995471
218,ゆうちょ銀行　大阪支店　西友山科店内出張所,京都府京都市山科区音羽野田町1 1階宝くじ売場横 屋外ATMｺｰﾅｰ,8:00,21:00,8:00,21:00,8:00,21:00,0,135.81619,34.984308
219,ゆうちょ銀行　大阪支店　ファミリーマート渋谷街道音羽店内出張所,京都府京都市山科区音羽沢町38-5,0:05,23:55,0:05,23:55,0:05,23:55,0,135.821012,34.987512
220,ゆうちょ銀行　大阪支店　ファミリーマート山科三条通店内出張所,京都府京都市山科区竹鼻外田町25−37,0:05,23:55,0:05,23:55,0:05,23:55,0,135.819868,34.990406
221,ゆうちょ銀行　大阪支店　ファミリーマート山科西野山店内出張所,京都府京都市山科区西野山射庭ﾉ上町195−1,0:05,23:55,0:05,23:55,0:05,23:55,0,135.796853,34.974173
222,山科四宮郵便局,京都府京都市山科区四ﾉ宮大将軍町5−2,9:00,19:00,9:00,17:00,-,-,0,135.804754,34.993839
223,山科郵便局,京都府京都市山科区西野阿芸沢町1−5,8:00,21:00,9:00,19:00,9:00,19:00,0,135.810282,34.983655
224,ゆうちょ銀行　大阪支店　ラクト山科内出張所,京都府京都市山科区竹鼻竹ﾉ街道町91 地下1階東入口付近ATMｺｰﾅｰ,8:00,20:00,9:00,20:00,9:00,20:00,0,135.816527,34.990019
225,ゆうちょ銀行　大阪支店　京阪三条駅内出張所,京都府京都市東山区三条大橋東入大橋町128 地下2階地下鉄｢三条京阪駅｣連絡通路横,7:00,23:00,8:00,23:00,8:00,21:00,0,135.778182,34.976388
226,ゆうちょ銀行　大阪支店　ファミリーマート京都祇園店内出張所,京都府京都市東山区四条通大和大路東入祇園町 北側300番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.769779,34.973545
227,ゆうちょ銀行　大阪支店　ファミリーマート京都女子大学店内出張所,京都府京都市東山区今熊野日吉町35番地,8:00,20:00,8:00,20:00,8:00,20:00,0,135.780159,34.987846
228,ゆうちょ銀行　大阪支店　ファミリーマート京阪五条店内出張所,京都府京都市東山区五条通大橋東入東橋詰町11番地2 ,0:05,23:55,0:05,23:55,0:05,23:55,0,135.766005,34.973666
229,ゆうちょ銀行　大阪支店　ファミリーマート京阪四条駅前店内出張所,京都府京都市東山区四条通大和大路西入中之町213,0:05,23:55,0:05,23:55,0:05,23:55,0,135.769779,34.973545
230,ゆうちょ銀行　大阪支店　京阪三条駅内出張所,京都府京都市東山区三条大橋東入大橋町128 地下2階地下鉄｢三条京阪駅｣連絡通路横,7:00,23:00,8:00,23:00,8:00,21:00,0,135.778182,34.976388
231,ゆうちょ銀行　大阪支店　ファミリーマート京都祇園店内出張所,京都府京都市東山区四条通大和大路東入祇園町 北側300番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.769779,34.973545
233,ゆうちょ銀行　大阪支店　同志社大学今出川学舎内出張所,京都府京都市上京区新北小路町612 明徳館1階,9:00,19:00,9:00,17:00,-,-,0,135.73881,35.027111
234,ゆうちょ銀行　大阪支店　ファミリーマート烏丸寺ノ内店内出張所,京都府京都市上京区烏丸通寺之内上る相国寺門前町647番地8,0:05,23:55,0:05,23:55,0:05,23:55,0,135.741823,35.026795
235,ゆうちょ銀行　大阪支店　ファミリーマート出町店内出張所,京都府京都市上京区出町通今出川上る青龍町225番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.73881,35.027111
236,ゆうちょ銀行　大阪支店　ファミリーマート平安女学院前店内出張所,京都府京都市上京区室町通椹木町上る武衛陣町238番1,0:05,23:55,0:05,23:55,0:05,23:55,0,135.73881,35.027111
237,ゆうちょ銀行　大阪支店　ファミリーマート堀川今出川店内出張所,京都府京都市上京区西堀川通元誓願寺上ﾙ竪門前町400番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.73881,35.027111
238,ゆうちょ銀行　大阪支店　イオンモール京都桂川内出張所,京都府京都市南区久世高田町376−1 1階ATMｺｰﾅｰ,8:00,23:00,8:00,23:00,8:00,21:00,0,135.707915,34.963574
239,ゆうちょ銀行　大阪支店　イオン洛南ショッピングセンター内出張所,京都府京都市南区吉祥院御池町31 1階ATMｺｰﾅｰ,7:00,23:00,7:00,23:00,7:00,21:00,0,135.735824,34.97463
240,ゆうちょ銀行　大阪支店　ファミリーマート烏丸十条店内出張所,京都府京都市南区東九条河辺町1番地1,0:05,23:55,0:05,23:55,0:05,23:55,0,135.777181,35.07068
241,ゆうちょ銀行　大阪支店　ファミリーマート烏丸八条口店内出張所,京都府京都市南区東九条上殿田町41番地1,0:05,23:55,0:05,23:55,0:05,23:55,0,135.777181,35.07068
242,ゆうちょ銀行　大阪支店　ファミリーマート河原町十条店内出張所,京都府京都市南区東九条東札辻町4番地1,0:05,23:55,0:05,23:55,0:05,23:55,0,135.777181,35.07068
243,ゆうちょ銀行　大阪支店　ファミリーマート吉祥院這登中町店内出張所,京都府京都市南区吉祥院這登中町24番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.729465,34.970995
244,ゆうちょ銀行　大阪支店　ファミリーマート吉祥院東前田店内出張所,京都府京都市南区吉祥院東前田町34番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.737901,34.969711
245,ゆうちょ銀行　大阪支店　ファミリーマート京都駅八条口西店内出張所,京都府京都市南区西九条池ﾉ内町60番1(地番),0:05,23:55,0:05,23:55,0:05,23:55,0,135.728027,34.982544
246,ゆうちょ銀行　大阪支店　ファミリーマート中久世一丁目店内出張所,京都府京都市南区久世中久世町一丁目104番地2,0:05,23:55,0:05,23:55,0:05,23:55,0,135.71274,34.960919
247,ゆうちょ銀行　大阪支店　ファミリーマート西大路駅前店内出張所,京都府京都市南区唐橋西平垣町1番6 1F,0:05,23:55,0:05,23:55,0:05,23:55,0,135.732376,34.980209
248,ゆうちょ銀行　大阪支店　ファミリーマート上桂山田口店内出張所,京都府京都市西京区山田弦馳町1番地12,0:05,23:55,0:05,23:55,0:05,23:55,0,135.692198,34.990375
