,name,address,start_time,end_time,start_time_saturday,end_time_saturday,start_time_holiday,end_time_holiday,fee,longitude,latitude
93,金閣寺支店,京都府京都市北区衣笠北天神森町28番地,8:00,21:00,8:00,21:00,8:00,21:00,110,135.732849,35.038605
94,原谷,京都府京都市北区大北山原谷乾町90番地,8:45,20:00,8:45,20:00,-,-,110,135.717056,35.04435
95,紫竹支店,京都府京都市北区紫竹下本町24（上堀川支店内）,8:00,21:00,8:00,21:00,8:00,21:00,110,135.751175,35.050224
96,紫竹,京都府京都市北区紫野西泉堂町3番地1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.740677,35.048969
97,九条支店,京都府京都市南区東寺東門前町1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.749512,34.980202
98,九条千本,京都府京都市南区唐橋羅城門町5-1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.742065,34.978607
99,上鳥羽センター,京都府京都市南区上鳥羽南塔ノ本町25番地,8:00,20:00,8:00,20:00,-,-,110,135.751205,34.965141
100,イオン洛南店,京都府京都市南区吉祥院御池町31番地,9:00,23:00,9:00,23:00,9:00,23:00,110,135.735428,34.975109
101,吉祥院支店,京都府京都市南区吉祥院這登西町49,8:00,21:00,8:00,21:00,8:00,21:00,110,135.727478,34.970154
102,マツモト洛南店,京都府京都市南区吉祥院観音堂町19,9:00,22:00,9:00,22:00,9:00,22:00,110,135.731506,34.966747
103,東九条支店,京都府京都市南区東九条西札ノ辻町46,8:00,21:00,8:00,21:00,8:00,21:00,110,135.761261,34.976093
104,イオンモールＫＹＯＴＯ,京都府京都市南区西九条鳥居口町1,9:00,21:00,9:00,21:00,9:00,21:00,110,135.754532,34.982719
105,久世支店,京都府京都市南区久世殿城町32,8:00,21:00,8:00,21:00,8:00,21:00,110,135.716599,34.957733
106,マツモト向日店,京都府向日市森本町高田5-1,9:00,22:00,9:00,22:00,9:00,22:00,110,135.715744,34.947243
107,マツモト桂川店,京都府京都市南区久世築山町130-1,9:00,22:00,9:00,22:00,9:00,22:00,110,135.722931,34.955563
108,東山支店,京都府京都市東山区広道通松原上ル辰巳町105,8:00,21:00,8:00,21:00,8:00,21:00,110,135.776398,34.997093
109,山科支店,京都府京都市山科区竹鼻竹の街道町24,8:00,21:00,8:00,21:00,8:00,21:00,110,135.817581,34.98951
110,京都薬科大学,京都府京都市山科区御陵中内町 5番地,9:00,18:00,9:00,18:00,-,-,110,135.809723,34.990833
111,洛和会音羽病院,京都府京都市山科区音羽八ノ坪53番地1,8:45,19:00,8:45,19:00,-,-,110,135.828918,34.987831
112,マツヤスーパー山科三条店,京都府京都市山科区竹鼻地蔵寺南町9-1,8:30,21:50,8:30,21:50,8:30,21:50,110,135.814453,34.986607
113,ラクト山科,京都府京都市山科区竹鼻竹ノ街道町91,7:30,23:00,7:30,23:00,7:30,23:00,110,135.816864,34.990334
114,山科中央支店,京都府京都市山科区椥ノ辻池尻町14-1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.81443,34.972328
115,福田金属前,京都府京都市山科区西野山中臣町13番の3,8:00,20:00,8:00,20:00,8:00,20:00,110,135.802979,34.973873
116,東野,京都府京都市山科区東野門口町27番の3,8:00,20:00,8:00,20:00,8:00,20:00,110,135.815659,34.979546
117,西山科支店,京都府京都市山科区西野八幡田町28-3,8:00,21:00,8:00,21:00,8:00,21:00,110,135.80304,34.987583
118,山科小野支店,京都府京都市山科区小野鐘付田町122,8:00,21:00,8:00,21:00,8:00,21:00,110,135.812561,34.961773
119,四条室町,京都府京都市下京区四条通室町東入函谷鉾町78番地,7:30,23:00,7:30,23:00,7:30,23:00,110,135.758426,35.003175
120,下鳥羽支店,京都府京都市伏見区中島堀端町101,8:00,21:00,8:00,21:00,8:00,21:00,110,135.74881,34.946487
121,地下鉄竹田駅,京都府京都市伏見区竹田桶ノ井町地先,7:00,23:00,7:00,23:00,7:00,23:00,110,135.757187,34.955925
122,稲荷支店,京都府京都市伏見区深草稲荷中之町41,8:00,21:00,8:00,21:00,8:00,21:00,110,135.771133,34.96846
123,マツモト伏見店,京都府京都市伏見区竹田中島町100,8:00,21:00,8:00,21:00,8:00,21:00,110,135.759338,34.962685
124,伏見支店,京都府京都市伏見区東大手町766-3,7:00,23:00,7:00,23:00,7:00,23:00,110,135.76152,34.933212
125,桃山南口,京都府京都市伏見区桃山町養斎16番地,8:00,20:00,8:00,20:00,8:00,20:00,110,135.785706,34.929508
126,西友下鳥羽店,京都府京都市伏見区下鳥羽長田町40番地,7:30,21:00,7:30,21:00,7:30,21:00,110,135.743652,34.93964
127,淀支店,京都府京都市伏見区淀池上町159-2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.720428,34.905109
128,淀南,京都府久世郡久御山町大字大橋辺小字大橋9の1番,8:45,20:00,8:45,20:00,8:45,20:00,110,135.717636,34.897652
129,墨染支店,京都府京都市伏見区深草北新町633,8:00,21:00,8:00,21:00,8:00,21:00,110,135.769943,34.948357
